title,artist_name,track_mbid,date,length,genre_dortmund,genre_rosamerica,genre_tzanetakis,sad,happy,party,relaxed,acoustic,danceable,tonal,bright,instrumental,decada,longitud_titulo,pca_1,pca_2,pca_3,pca_4,pca_5,cluster,anomaly
Anthem,"Benny Andersson, Tim Rice & Björn Ulvaeus",0b721dda-6bbf-4027-875d-6b0e61909624,1984,3.0506665547666665,Folkcountry,Classic,Jazz,0.935075581074,0.212062075734,0.0479305461049,0.978736639023,0.979325830936,0.0670103877783,0.99244594574,0.990292668343,0.00764703843743,1980,6,3.501435940732064,1.2724015754799358,0.019176565350815765,-1.1706219996339657,-0.5731954142513789,1,1
Baby Don´t Get Hooked On Me,Mac Davis,0b91df5c-5ac6-4ec3-8040-e7e1c1af0aa5,2000,3.0136599222833333,Folkcountry,Classic,Jazz,0.679470837116,0.67767560482,0.211689218879,0.791787564754,0.897092461586,0.0325793772936,0.994733929634,0.622390210629,0.00536662014201,2000,27,2.0894457106551445,1.0479713091662566,1.1716835398396623,-0.07993093921653453,0.8289007342326694,1,1
March of the Holy Man,"Akira Souji, Keizo Nakamura, Tomoko Sano & Mikio Saito",0a074897-5b57-4832-9c5b-4ae48ccebae8,2008,1.8960544586166668,Electronic,Pop,Jazz,0.0600084587932,0.265903502703,0.869413971901,0.0212022755295,1.91391027329e-05,0.984063923359,0.198720008135,0.897951364517,0.980803608894,2000,21,-2.839265826799493,0.29506649582357375,-0.0905205849027211,0.47579925200239565,-0.23066216230188274,0,1
My Baby Loves Lovin',White Plains,0d8082f1-b81a-42ac-9cf6-7770a1247926,2022,2.8508298238166665,Electronic,Pop,Jazz,0.534836113453,0.974469065666,0.547775149345,0.832282483578,0.5,0.151120051742,0.933567464352,0.999998569489,0.103459693491,2020,20,0.5023716024985353,1.1141227806892349,2.808505597444968,0.3818870149797032,0.11932899653718045,1,1
Walking on a Thin Line,Huey Lewis & The News,0d85036d-e98b-4479-83f1-76d8cfa1e302,1983,5.183081054683333,Electronic,Rock,Rock,0.18933133781,0.709720134735,0.000184340591659,0.488457113504,0.0955704301596,0.999992966652,0.5,0.908695399761,0.455647587776,1980,22,-0.5820737888038734,1.3656187182286563,-1.0794551846457776,1.0565531169880762,-0.5141429177182083,0,1
Old Paul,,1c1c7f62-e04c-4fb7-af25-62cb60d25dc0,2018,4.423999532066667,Electronic,Jazz,Jazz,0.651753127575,0.0690611004829,0.017279336229,0.995343863964,0.899025499821,0.151207730174,0.890466272831,0.0119839105755,0.999999761581,2010,8,2.0968328523593533,-2.3955326164963053,0.5128883232324871,-0.392310413861505,-1.1509252755817412,1,1
It's Gonna Take a Little Bit Longer,Charley Pride,00e2d899-638f-4cff-a2c8-6535827468ad,2007,2.6614420573,Folkcountry,Classic,Jazz,0.513792872429,0.916002213955,0.288147896528,0.88021928072,0.801330864429,0.0844538584352,0.985586881638,0.82730448246,0.0129727656022,2000,35,1.6412318932076622,1.5079653384038574,1.584860893244379,0.5548680547618137,1.162754107715066,1,1
Pure Imagination,Primus,0c40cf25-6c64-4be6-8689-c6121fc855fb,2014,5.468444315599999,Electronic,Classic,Jazz,0.439582049847,0.167976140976,0.0716660991311,0.848899185658,0.52317917347,0.135208964348,0.00279918755405,0.0257172826678,0.362314581871,2010,16,0.40762930370506684,-2.3421813789341455,-0.0978329129199311,-0.9218571075401615,0.3798458327537487,1,1
Clint Eastwood (Phi Life Cypher version),Gorillaz,0c64478e-3e3d-46dc-be25-0331489998e0,2002,4.941555786133334,Electronic,Dance,Jazz,0.270771950483,0.731392204762,0.963254988194,0.887405276299,4.81698577914e-07,0.999904930592,0.0407629981637,0.110305637121,0.0544768534601,2000,40,-2.3515382375596516,-0.3887894971655069,-0.5091208874691514,0.3197810176188205,1.9646848049425352,0,1
08 Click Your Fingers Applauding the Play,Roky Erickson,0f6059f9-f586-439d-a11b-56ad9a22951a,1987,2.57959187825,Electronic,Rock,Jazz,0.0515957549214,0.719858050346,0.617678105831,0.0282606221735,0.0335264317691,0.818386137486,0.303008377552,0.745847165585,0.103978484869,1980,41,-2.1869881061961065,2.217364315549261,-0.8068892739586532,0.6795566922711725,1.735137315749172,0,1
Kyoto Song,The Cure,0a6b6399-dd07-4bfa-94ff-ccc7dc24d2e2,1985,4.26623128255,Electronic,Hip-Hop,Jazz,0.44314032793,0.0405399091542,0.753658533096,0.5,0.124133966863,0.82101982832,0.0254583284259,0.0773147195578,0.00537735689431,1980,10,-1.5508134426533908,-0.24584992937036104,-1.9158830836967211,-1.723413086462391,0.5175982806742027,0,1
Tomorrow Morning,Jack Johnson,0fa798cd-5f22-4113-940b-baed5a95119f,2003,2.8473470052,Electronic,Rhythmic,Jazz,0.7644328475,0.177318975329,0.0181744005531,0.809875667095,0.738513171673,0.239885464311,0.101335957646,0.90247374773,0.077202282846,2000,16,1.8173819160920242,-0.36089639399987306,0.5058956075964695,-1.2756300558268172,0.49076757537200677,1,1
When A Woman's Had Enough,Shemekia Copeland,0f6c69fc-7d78-4a7e-ae06-41d19abbc690,2011,3.94710210165,Electronic,Rhythmic,Jazz,0.419063001871,0.753477096558,0.227608039975,0.353321641684,0.8189920187,0.442528545856,0.79209625721,0.418576180935,0.621472656727,2010,25,0.3464712357225738,0.1365619682314838,1.107754753280995,0.7765850637577406,0.06471737399619544,1,1
You Know Who I Am,Leonard Cohen,1a3ec793-d431-41dc-b923-2c9d37441533,1969,3.5348027547166665,Electronic,Rhythmic,Jazz,0.920406222343,0.128310829401,0.00749502284452,0.983169138432,0.98991215229,0.0169970262796,0.927599608898,0.764536261559,0.352016180754,1960,17,3.8888016333145874,1.18619237666416,-1.7718239702130913,-0.6504930414580642,-0.1490214867470936,1,1
Renegades of Funk,Rage Against the Machine,0d7f048a-40ab-4e59-91e9-ee0e0886bddb,2000,4.592326354983333,Electronic,Dance,Jazz,0.105475194752,0.366150081158,0.789457380772,0.151599064469,0.00333175668493,0.994707107544,0.108635865152,0.112164594233,0.569312930107,2000,17,-3.060286701821904,-0.5098104205707442,-0.916520877706813,-0.1212662481739422,0.10046322339219906,0,1
Home,Nosaj Thing,1ac8aaf1-550a-41c6-8d6e-d7b77c8ee277,2013,2.666444396966667,Electronic,Rhythmic,Jazz,0.646462500095,0.0978808328509,0.0431171990931,0.995584607124,0.10739801079,0.983075261116,0.0111168893054,0.0828673094511,0.718035936356,2010,4,-0.1651420690903446,-2.527420108925284,0.004442890376911387,-1.6571937117028934,-0.6456172820610092,0,1
